fullname,texturepath,ptmf,leaf,title,support,dims,thickness,area,year,edition,printpath,suffix,rv,tr,height,width,portrait,leafside,leaflightangle,suffixportrait,rvportrait,editionportrait,editionsuffix,editionsuffixportrait,editionside,editionsideportrait,editionlightangle,editionlightangleportrait
1253_essai_a_vt,img/1253_essai_a_vt.jpeg,1253,1253_essai_a,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.391,1020,1929,4,prints/4_1929_1253-101024.jpg,vt,v,t,28.5,35.8,False,1253_essai_a_v,1253_essai_a_t,vt_False,v_False,4_False,4_vt,4_vt_False,4_v,4_v_False,4_t,4_t_False
1253_essai_b_rr,img/1253_essai_b_rr.jpeg,1253,1253_essai_b,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.381,1020,1929,4,prints/4_1929_1253-101024.jpg,rr,r,r,28.5,35.8,False,1253_essai_b_r,1253_essai_b_r,rr_False,r_False,4_False,4_rr,4_rr_False,4_r,4_r_False,4_r,4_r_False
1253_essai_b_rt,img/1253_essai_b_rt.jpeg,1253,1253_essai_b,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.381,1020,1929,4,prints/4_1929_1253-101024.jpg,rt,r,t,28.5,35.8,False,1253_essai_b_r,1253_essai_b_t,rt_False,r_False,4_False,4_rt,4_rt_False,4_r,4_r_False,4_t,4_t_False
1253_essai_b_vr,img/1253_essai_b_vr.jpeg,1253,1253_essai_b,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.381,1020,1929,4,prints/4_1929_1253-101024.jpg,vr,v,r,28.5,35.8,False,1253_essai_b_v,1253_essai_b_r,vr_False,v_False,4_False,4_vr,4_vr_False,4_v,4_v_False,4_r,4_r_False
1253_essai_b_vt,img/1253_essai_b_vt.jpeg,1253,1253_essai_b,Jeune hindoue,ARCHES,28.5 x 35.8 cm,0.381,1020,1929,4,prints/4_1929_1253-101024.jpg,vt,v,t,28.5,35.8,False,1253_essai_b_v,1253_essai_b_t,vt_False,v_False,4_False,4_vt,4_vt_False,4_v,4_v_False,4_t,4_t_False
1256_4_rr,img/1256_4_rr.jpeg,1256,1256_4,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.361,1018,1929,5,prints/5_1929_1256-101029.jpg,rr,r,r,26.8,38.0,False,1256_4_r,1256_4_r,rr_False,r_False,5_False,5_rr,5_rr_False,5_r,5_r_False,5_r,5_r_False
1256_4_rt,img/1256_4_rt.jpeg,1256,1256_4,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.361,1018,1929,5,prints/5_1929_1256-101029.jpg,rt,r,t,26.8,38.0,False,1256_4_r,1256_4_t,rt_False,r_False,5_False,5_rt,5_rt_False,5_r,5_r_False,5_t,5_t_False
1256_4_vr,img/1256_4_vr.jpeg,1256,1256_4,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.361,1018,1929,5,prints/5_1929_1256-101029.jpg,vr,v,r,26.8,38.0,False,1256_4_v,1256_4_r,vr_False,v_False,5_False,5_vr,5_vr_False,5_v,5_v_False,5_r,5_r_False
1256_4_vt,img/1256_4_vt.jpeg,1256,1256_4,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.361,1018,1929,5,prints/5_1929_1256-101029.jpg,vt,v,t,26.8,38.0,False,1256_4_v,1256_4_t,vt_False,v_False,5_False,5_vt,5_vt_False,5_v,5_v_False,5_t,5_t_False
1256_8_rr,img/1256_8_rr.jpeg,1256,1256_8,Figure endormie chale sur les jambes,ARCHES,26.8 x 38 cm,0.431,1018,1929,5,prints/5_1929_1256-101029.jpg,rr,r,r,26.8,38.0,False,1256_8_r,1256_8_r,rr_False,r_False,5_False,5_rr,5_rr_False,5_r,5_r_False,5_r,5_r_False
